"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 03 21:30:18 EST 2021","Fri Dec 03 21:30:22 EST 2021","3354","","Interacting with page elements","","Interacting with page elements","should save a screenshot of the browser view","should save a screenshot of the browser view",""
"passed","Sun Dec 05 00:46:59 EST 2021","Sun Dec 05 00:46:59 EST 2021","404","","Interacting with page elements","","Interacting with page elements","Should be able to authenticate","Should be able to authenticate",""
"passed","Thu Dec 02 23:21:13 EST 2021","Thu Dec 02 23:21:15 EST 2021","2191","","Interacting with elements","","Interacting with elements","should get the text for the element","should get the text for the element",""
"passed","Fri Dec 03 21:13:33 EST 2021","Fri Dec 03 21:13:33 EST 2021","20","","Webdriver.io examples","","Webdriver.io examples","TC001_Taking Element Screenshot","TC001_Taking Element Screenshot",""
"passed","Sun Dec 05 00:47:13 EST 2021","Sun Dec 05 00:47:17 EST 2021","4171","","Interacting with page elements","","Interacting with page elements","Should switch to a frame","Should switch to a frame",""
"passed","Sun Dec 05 00:47:06 EST 2021","Sun Dec 05 00:47:08 EST 2021","1834","","Interacting with page elements","","Interacting with page elements","Should hover(mouse) over an object","Should hover(mouse) over an object",""
"passed","Sun Dec 05 00:46:55 EST 2021","Sun Dec 05 00:46:57 EST 2021","1158","","Interacting with page elements","","Interacting with page elements","should be able to click on element","should be able to click on element",""
"passed","Sun Dec 05 00:46:54 EST 2021","Sun Dec 05 00:46:55 EST 2021","1722","","Interacting with page elements","","Interacting with page elements","should get the text from the page elements","should get the text from the page elements",""
"passed","Sun Dec 05 00:47:10 EST 2021","Sun Dec 05 00:47:13 EST 2021","2846","","Interacting with page elements","","Interacting with page elements","Should open a new window","Should open a new window",""
"passed","Sun Dec 05 00:47:17 EST 2021","Sun Dec 05 00:47:18 EST 2021","1464","","Interacting with page elements","","Interacting with page elements","should demonstrate the dragAndDrop command","should demonstrate the dragAndDrop command",""
"passed","Sun Dec 05 00:47:04 EST 2021","Sun Dec 05 00:47:06 EST 2021","2170","","Interacting with page elements","","Interacting with page elements","Should click a checkbox","Should click a checkbox",""
"failed","Sun Dec 05 00:47:18 EST 2021","Sun Dec 05 00:47:29 EST 2021","10602","","Interacting with page elements","","Interacting with page elements","should demonstrate the dropdown list","should demonstrate the dropdown list",""
"passed","Sun Dec 05 00:46:57 EST 2021","Sun Dec 05 00:46:58 EST 2021","1189","","Interacting with page elements","","Interacting with page elements","should be able to get a list of elements","should be able to get a list of elements",""
"passed","Sun Dec 05 00:48:10 EST 2021","Sun Dec 05 00:48:12 EST 2021","1916","","Interacting with page elements","","Interacting with page elements","should demonstrate the handling of JS Alerts","should demonstrate the handling of JS Alerts",""
"passed","Mon Dec 06 19:56:25 EST 2021","Mon Dec 06 19:56:26 EST 2021","650","","My Login application","","My Login application","should logout from the site","should logout from the site",""
"passed","Mon Dec 06 19:56:22 EST 2021","Mon Dec 06 19:56:25 EST 2021","2843","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"broken","Sun Dec 05 00:43:35 EST 2021","Sun Dec 05 00:43:37 EST 2021","1873","","Interacting with page elements","","Interacting with page elements","bar","bar",""
"passed","Sun Dec 05 18:57:34 EST 2021","Sun Dec 05 18:57:44 EST 2021","10253","","Interacting with page elements","","Interacting with page elements","should demonstrate the use of dynamic controls","should demonstrate the use of dynamic controls",""
"passed","Sun Dec 05 00:47:01 EST 2021","Sun Dec 05 00:47:04 EST 2021","2961","","Interacting with page elements","","Interacting with page elements","Should set a value","Should set a value",""
"passed","Sun Dec 05 00:47:08 EST 2021","Sun Dec 05 00:47:10 EST 2021","1696","","Interacting with page elements","","Interacting with page elements","Should send a keyboard key","Should send a keyboard key",""
"passed","Thu Dec 02 23:23:09 EST 2021","Thu Dec 02 23:23:11 EST 2021","1821","","Interacting with elements","","Interacting with elements","should get the text from the page elements","should get the text from the page elements",""
"passed","Sun Dec 05 00:47:00 EST 2021","Sun Dec 05 00:47:01 EST 2021","1007","","Interacting with page elements","","Interacting with page elements","Should scroll into view","Should scroll into view",""
"passed","Fri Dec 03 20:41:22 EST 2021","Fri Dec 03 20:41:22 EST 2021","74","","Webdriver.io examples","","Webdriver.io examples","TC000_My First Test Case","TC000_My First Test Case",""
"passed","Sun Dec 05 00:46:58 EST 2021","Sun Dec 05 00:46:59 EST 2021","963","","Interacting with page elements","","Interacting with page elements","should save a screenshot of the element","should save a screenshot of the element",""
"passed","Fri Dec 03 18:20:51 EST 2021","Fri Dec 03 18:20:57 EST 2021","6069","","User can log out from the site","","User can log out from the site","should logout from the site","should logout from the site",""
"passed","Sun Dec 05 00:46:59 EST 2021","Sun Dec 05 00:47:00 EST 2021","1017","","Interacting with page elements","","Interacting with page elements","Should be able to get all Links from the webpage","Should be able to get all Links from the webpage",""
"passed","Sun Dec 05 20:51:26 EST 2021","Sun Dec 05 20:51:35 EST 2021","9327","","Interacting with page elements","","Interacting with page elements","should demonstrate the use of dynamic controls - Existence/non-existence of an element","should demonstrate the use of dynamic controls - Existence/non-existence of an element",""
"broken","Sun Dec 05 20:45:20 EST 2021","Sun Dec 05 20:45:32 EST 2021","11998","","Usage of 'waitUntil' for a certain condition","","Usage of 'waitUntil' for a certain condition","should wait until a certain condition occurs","should wait until a certain condition occurs",""
